Institution,CharterNumber,Company,Individual,Location,TypeCode,Type,Amount,StartDate,StartDocuments,TerminationDate,TerminationDocuments,DocketNumber,SubjectMatters
"The Citizens National Bank of Meyersdale","5833","","","Meyersdale, PA","FA","Formal Agreement","0.00","07/20/2012","2012-170","11/25/2014","2014-169","","Allowance for Losses (ALLL / ACL); Appraisals; Asset Quality; Board / Management Oversight; Capital; Concentration Risk Management; Credit/Collateral Exceptions; Lending Issues; OREO; Other Lending Deficiencies; Problem Loan Identification; Strategic Planning"
"The City National Bank of Colorado City","5276","","","Colorado City, TX","FA","Formal Agreement","0.00","03/31/2021","2021-018","11/17/2022","2022-065","AA-SO-2021-13","Appraisals; Board / Management Oversight; Capital; Concentration Risk Management; Credit/Collateral Exceptions; Lending Issues; Liquidity; Other Lending Deficiencies"
"The Farmers National Bank of Cynthiana","2560","","","Cynthiana, KY","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","08/22/2012","2012-186","03/18/2014","2014-042","AA-CE-12-77","Asset Quality; Audit; Board / Management Oversight; Capital; Credit/Collateral Exceptions; Internal Audit; Lending Issues; Liquidity; Other Lending Deficiencies; Sensitivity to Market Risk"
"The First National Bank and Trust Company of Vinita","4704","","","Vinita, OK","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","07/16/2020","2020-038","05/21/2021","","AA-EC-2020-43","Allowance for Losses (ALLL / ACL); Asset Quality; Audit; Board / Management Oversight; Capital; Compensation; Concentration Risk Management; Credit/Collateral Exceptions; Insider Issues; Internal Audit; Lending Issues; Liquidity; Loan Review; Other Lending Deficiencies; Problem Loan Identification; Strategic Planning"
"The First National Bank of Absecon","10823","","","Absecon, NJ","FA","Formal Agreement","0.00","03/14/2012","2012-073","01/20/2016","2016-015","","Allowance for Losses (ALLL / ACL); Asset Quality; Audit; Board / Management Oversight; BSA/AML; Capital; Compliance Risk Management; Consumer Law; Credit/Collateral Exceptions; Earnings; Inaccurate / Incomplete / False Books and Records; Internal Audit; Lending Issues; Liquidity; Loan Review; OFAC Compliance Issue; Other Lending Deficiencies; Problem Loan Identification; Sensitivity to Market Risk; Strategic Planning"
"The First National Bank of Bellville","4241","","","Bellville, TX","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","10/21/2024","AA-SO-2023-57","07/01/2025","","AA-SO-2023-57","Affiliate Transactions (incl. Reg W); Allowance for Losses (ALLL / ACL); Appraisals; Board / Management Oversight; Capital; Concentration Risk Management; Credit/Collateral Exceptions; Earnings; Enterprise Governance / Internal Controls / General Risk Management; Insider Issues; Lending Issues; Liquidity; Loan Review; Other Lending Deficiencies; Overdrafts; Problem Loan Identification; Sensitivity to Market Risk; Strategic Planning"
"The First National Bank of Dennison","13802","","","Dennison, OH","FA","Formal Agreement","0.00","09/17/2024","AA-CE-2024-49","12/02/2025","AA-CE-2025-61","AA-CE-2024-49","Asset Quality; Board / Management Oversight; Compliance Risk Management; Credit/Collateral Exceptions; Enterprise Governance / Internal Controls / General Risk Management; Inaccurate / Incomplete / False Books and Records; Lending Issues; Loan Review; Other Lending Deficiencies; Problem Loan Identification; Strategic Planning"
"The First National Bank of Fleming","11571","","","Fleming, CO","FA","Formal Agreement","0.00","11/22/2019","2019-067","02/25/2021","2021-012","AA-WE-2019-80","Allowance for Losses (ALLL / ACL); Board / Management Oversight; Concentration Risk Management; Credit/Collateral Exceptions; Lending Issues; Loan Review; Other Lending Deficiencies; Problem Loan Identification; Strategic Planning"
"The First National Bank of Hartford","7592","","","Hartford, AL","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","03/06/2012","2012-090","07/31/2014","2014-112","","Allowance for Losses (ALLL / ACL); Appraisals; Asset Quality; Audit; Board / Management Oversight; BSA Independent Testing/Audit; BSA Internal Controls; BSA Officer; BSA/AML; Capital; Compliance Risk Management; Concentration Risk Management; Consumer Law; Credit/Collateral Exceptions; Customer/Enhanced Due Diligence (CDD/EDD); Internal Audit; Investment/Other than Temporary Impairment; Lending Issues; Liquidity; Loans to Insiders (incl. Reg O); Other Lending Deficiencies; Problem Loan Identification; SAR/CTR Monitoring/Filing Issue; Securities Activities; Sensitivity to Market Risk; Strategic Planning; Trading & Securities"
"The First National Bank of Hope","12384","","","Hope, KS","FA","Formal Agreement","0.00","07/17/2019","2019-038","11/16/2022","2022-061","AA-WE-2019-32","Allowance for Losses (ALLL / ACL); Appraisals; Asset Quality; Capital; Concentration Risk Management; Credit/Collateral Exceptions; Inaccurate / Incomplete / False Books and Records; Lending Issues; Loan Review; Other Lending Deficiencies; Problem Loan Identification"
"The First National Bank of Lacon","347","","","Lacon, IL","FA","Formal Agreement","0.00","09/13/2016","2016-091","08/01/2019","2019-051","AA-CE-2016-52","Asset Quality; Capital; Compensation; Concentration Risk Management; Insider Issues; Lending Issues; Other Lending Deficiencies; Strategic Planning"
"The First National Bank of Layton","7685","","","Layton, UT","FA","Formal Agreement","0.00","12/12/2013","2013-202","11/05/2014","2014-153","","Capital; Compensation; Compliance Risk Management; Concentration Risk Management; Consumer Law; Credit/Collateral Exceptions; Flood Insurance; Insider Issues; Lending Issues; Other Lending Deficiencies; SCRA/Military Lending Act; TILA/RESPA"
"The First National Bank of Scott City","8808","","","Scott City, KS","FA","Formal Agreement","0.00","04/19/2016","2016-050","11/18/2019","2019-069","","Allowance for Losses (ALLL / ACL); Appraisals; Asset Quality; Board / Management Oversight; Capital; Lending Issues; Loan Review; Other Lending Deficiencies; Problem Loan Identification"
"The First National Bank of Sedan","3855","","","Sedan, KS","FA","Formal Agreement","0.00","04/17/2018","2018-033","02/15/2024","AA-WE-2024-17","","Appraisals; Asset Quality; Audit; Board / Management Oversight; Capital; Credit/Collateral Exceptions; Internal Audit; Lending Issues; Loan Review; Other Lending Deficiencies; Problem Loan Identification; Strategic Planning"
"The First National Bank of Shiner","5628","","","Shiner, TX","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","10/21/2024","AA-SO-2023-55","07/01/2025","","AA-SO-2023-55","Affiliate Transactions (incl. Reg W); Board / Management Oversight; Capital; Earnings; Enterprise Governance / Internal Controls / General Risk Management; Insider Issues; Liquidity; Sensitivity to Market Risk; Strategic Planning"
"The First National Bank of St. Ignace","3886","","","St. Ignace, MI","FA","Formal Agreement","0.00","01/19/2024","AA-CE-2024-01","10/26/2025","AA-CE-2025-56","AA-CE-2024-01","Capital; Liquidity; Strategic Planning"
"The First National Bank of Sullivan","7692","","","Sullivan, IL","FA","Formal Agreement","0.00","08/27/2013","2013-147","01/26/2015","2015-013","","Allowance for Losses (ALLL / ACL); Appraisals; Asset Quality; Capital; Credit/Collateral Exceptions; Lending Issues; Loan Review; Other Lending Deficiencies; Problem Loan Identification"
"The First National Bank of Tahoka","8597","","","Tahoka, TX","FA","Formal Agreement","0.00","06/20/2019","2019-030","06/04/2021","","AA-SO-2019-28","Allowance for Losses (ALLL / ACL); Appraisals; Asset Quality; Audit; Board / Management Oversight; Capital; Compliance Risk Management; Consumer Law; Credit/Collateral Exceptions; Flood Insurance; Inaccurate / Incomplete / False Books and Records; Insider Issues; Internal Audit; Lending Issues; Loan Review; Other Lending Deficiencies; Problem Loan Identification; SCRA/Military Lending Act; TILA/RESPA"
"The First National Bank of Talladega","4838","","","Talladega, AL","FA","Formal Agreement","0.00","03/16/2012","2012-095","11/25/2014","2014-164","","Allowance for Losses (ALLL / ACL); Appraisals; Audit; Board / Management Oversight; Concentration Risk Management; Credit/Collateral Exceptions; Internal Audit; Investment/Other than Temporary Impairment; Lending Issues; Liquidity; Loan Review; Loans to Insiders (incl. Reg O); Other Lending Deficiencies; Problem Loan Identification; Sensitivity to Market Risk; Strategic Planning; Trading & Securities"
"The First National Bank of Wamego","3434","","","Wamego, KS","FA","Formal Agreement","0.00","04/19/2012","2012-098","06/25/2013","2013-081","","Appraisals; Asset Quality; Board / Management Oversight; Capital; Concentration Risk Management; Credit/Collateral Exceptions; Lending Issues; Loan Review; Other Lending Deficiencies; Problem Loan Identification; Strategic Planning"
"The First National Bank of Waverly","5635","","","Waverly, OH","FA","Formal Agreement","0.00","09/25/2024","AA-CE-2024-64","","","AA-CE-2024-64","Board / Management Oversight; Capital; Liquidity; Sensitivity to Market Risk; Strategic Planning"
